"","","","song_title"
"33","SCETTYB104","A R rahman","Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi"
"34","SCETTYB104","Kishor Kumar","Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,AA Dekhe jara ,AA Dekhe jara ,Aaj Madhosh Hua Jaye re,Aaj na chhodenge ,Diye Jalate Hai,Aaiye Shauk se Kahiye,Diye Jalate Hai,AA Dekhe jara ,Diye Jalate Hai,Aaiye Shauk se Kahiye,Aaj ka ye din,Aaiye Shauk se Kahiye,Aaj ka ye din,Aaj Madhosh Hua Jaye re,Diye Jalate Hai,Diye Jalate Hai,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aai Khuda Har faisala tera Muze Manjur hai,AA Dekhe jara ,Aadmi jo kaheta Hai,Aaj ka ye din,Aaj Madhosh Hua Jaye re,Aai Khuda Har faisala tera Muze Manjur hai,Aaj ka ye din,Aaj ka ye din,Aaiye Shauk se Kahiye,Aadmi jo kaheta Hai,Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re,Aaj na chhodenge ,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,AA Dekhe jara ,AA Dekhe jara ,Aaj Madhosh Hua Jaye re,Aaj na chhodenge ,Diye Jalate Hai,Aaiye Shauk se Kahiye,Diye Jalate Hai,AA Dekhe jara ,Diye Jalate Hai,Aaiye Shauk se Kahiye,Aaj ka ye din,Aaiye Shauk se Kahiye,Aaj ka ye din,Aaj Madhosh Hua Jaye re,Diye Jalate Hai,Aaiye Shauk se Kahiye,Aadmi jo kaheta Hai,Aaj Madhosh Hua Jaye re,Aaiye Shauk se Kahiye,Diye Jalate Hai,AA Dekhe jara ,Aai Khuda Har faisala tera Muze Manjur hai,Aaj ka ye din,Aadmi jo kaheta Hai,Aaj Madhosh Hua Jaye re,Aaj ka ye din,Aaj na chhodenge ,Aaj na chhodenge ,Diye Jalate Hai"
"35","SCETTYB104","Labh Jan Jua","Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda,Jee Karda"
"36","SCETTYB104","Mohit Chauhan","Jo Bhi Main,Sadda Haq,Ilahi,Sadda Haq,Haafiz Khuda,Haafiz Khuda,Jaana Hai,Haafiz Khuda,Haafiz Khuda,Ilahi,Sadda Haq,Jo Bhi Main,Ilahi,Haafiz Khuda,Jaana Hai,Jaana Hai,Ilahi,Ilahi,Hawa Hawaa,Tum Ho,Sadda Haq,Haafiz Khuda,Jaana Hai,Ilahi,Haafiz Khuda,Jo Bhi Main,Sadda Haq,Ilahi,Sadda Haq,Haafiz Khuda,Haafiz Khuda,Jaana Hai,Haafiz Khuda,Haafiz Khuda,Ilahi,Jo Bhi Main,Sadda Haq,Naadaan Parindey,Kuchh Iss Tarah,Haafiz Khuda,Jo Bhi Main,Ilahi,Haafiz Khuda,Ilahi,Tum Ho,Jo Bhi Main,Hawa Hawaa,Tum Ho"
"37","SCETTYB104","Mohmad Rafi","Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Khoya khoya chand ,Gulabi Ankhe,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand ,Khoya khoya chand ,Baharo Phool Barsao,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Khoya khoya chand ,Khoya khoya chand ,Tum Bin Jaoon Kahan,Khoya khoya chand ,Baharo Phool Barsao,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Gulabi Ankhe,Baharo Phool Barsao,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Abhi Na Jao Chhod Kar,Khoya khoya chand ,Gulabi Ankhe,Baharo Phool Barsao"
"38","SCETTYB104","Mukesh","Mera Joota Hai Japani,Mera Joota Hai Japani,Mera Joota Hai Japani"
"39","SCETTYB104","Neha Bhansin","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"40","SCETTYB104","Shreya Ghoshal","Koi Pathar Se na Maare,Raabta,Silsila Ye Chahat Ka,Raabta,Dola Re Dola,Wada Raha,Dhoom Taana,Raabta,Raabta,More Piya,Dola Re Dola,Dil Dooba,Wada Raha,Koi Pathar Se na Maare,Om Shanti Om,Raabta,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Saans Me Teri ,More Piya,Dil Dooba,Deewangi Deewangi,Deewangi Deewangi,Raabta,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Deewangi Deewangi,Dhoom Taana,Raabta,Koi Pathar Se na Maare,Deewangi Deewangi,Saans Me Teri ,Raabta,More Piya,Dhoom Taana,Dhoom Taana,Deewangi Deewangi,Koi Pathar Se na Maare,Om Shanti Om,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Dola Re Dola,Saans Me Teri ,Koi Pathar Se na Maare,Om Shanti Om,Saans Me Teri ,Saans Me Teri ,Dhoom Taana,Koi Pathar Se na Maare,Raabta,Dhoom Taana,Koi Pathar Se na Maare,Raabta,Silsila Ye Chahat Ka,Raabta,Dola Re Dola,Wada Raha,Dhoom Taana,Raabta,Raabta,More Piya,Dola Re Dola,Dil Dooba,Wada Raha,Koi Pathar Se na Maare,Om Shanti Om,Raabta,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Saans Me Teri ,More Piya,Dil Dooba,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Raabta,Dhoom Taana,Dil Dooba,Teri Baahon Maein Hum,Deewangi Deewangi,Saans Me Teri ,Dhoom Taana,Om Shanti Om,Om Shanti Om,Raabta,Dhoom Taana,Dhoom Taana,Koi Pathar Se na Maare,Dhoom Taana,Silsila Ye Chahat Ka,Raabta,Saans Me Teri ,More Piya,Dhoom Taana"
"41","SCETTYB104","Sonu Nigam","Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Maria Maria,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria,Maria Maria,Sandese Aate Hai ,Maria Maria,Maria Maria,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Maria Maria"
"42","SCETTYB104","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
