"","","","song_title"
"77","SCETTYB103","Om Shanti Om","Om Shanti Om,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Om Shanti Om,Deewangi Deewangi,Dhoom Taana,Dhoom Taana,Om Shanti Om,Dhoom Taana,Dhoom Taana,Om Shanti Om,Om Shanti Om,Om Shanti Om,Deewangi Deewangi,Dhoom Taana,Deewangi Deewangi,Dhoom Taana,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Dhoom Taana,Deewangi Deewangi,Om Shanti Om,Deewangi Deewangi,Om Shanti Om,Om Shanti Om,Dhoom Taana,Om Shanti Om"
"78","SCETTYB103","Partner","Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria,Maria Maria"
"79","SCETTYB103","Parvarish","Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye,Aaiye Shauk se Kahiye"
"80","SCETTYB103","Rockstar","Jo Bhi Main,Naadaan Parindey,Jo Bhi Main,Tum Ho,Hawa Hawaa,Naadaan Parindey,Tum Ho,Naadaan Parindey,Jo Bhi Main,Jo Bhi Main,Naadaan Parindey,Jo Bhi Main,Naadaan Parindey,Jo Bhi Main,Naadaan Parindey,Tum Ho,Sadda Haq,Naadaan Parindey,Naadaan Parindey"
"81","SCETTYB103","Rocky","AA Dekhe jara ,AA Dekhe jara ,AA Dekhe jara "
"82","SCETTYB103","Sharmili","Aaj Madhosh Hua Jaye re,Aaj Madhosh Hua Jaye re"
"83","SCETTYB103","Shree 420","Mera Joota Hai Japani"
"84","SCETTYB103","Shree 422","Mera Joota Hai Japani,Mera Joota Hai Japani"
"85","SCETTYB103","Shree 423","Mera Joota Hai Japani"
"86","SCETTYB103","Singh Is King","Jee Karda,Jee Karda,Jee Karda,Jee Karda"
"87","SCETTYB103","Yeh Jawanni Hai Devani","Ilahi,Ilahi"
"88","SCETTYB104","8*10 Tasveer","Haafiz Khuda,Haafiz Khuda,Jaana Hai,Haafiz Khuda,Haafiz Khuda,Haafiz Khuda,Jaana Hai,Jaana Hai,Haafiz Khuda,Jaana Hai,Haafiz Khuda,Haafiz Khuda,Haafiz Khuda,Jaana Hai,Haafiz Khuda,Haafiz Khuda,Kuchh Iss Tarah,Haafiz Khuda,Haafiz Khuda"
"89","SCETTYB104","Aaja Nachle","Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare"
"90","SCETTYB104","Abdullah","Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai,Aai Khuda Har faisala tera Muze Manjur hai"
"91","SCETTYB104","Agent Vinod ","Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta,Raabta"
"92","SCETTYB104","Border","Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai "
"93","SCETTYB104","Deewana","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"94","SCETTYB104","Devdas","Silsila Ye Chahat Ka,Dola Re Dola,More Piya,Dola Re Dola,More Piya,More Piya,Dola Re Dola,Silsila Ye Chahat Ka,Dola Re Dola,More Piya,Dola Re Dola,More Piya,Silsila Ye Chahat Ka,More Piya"
"95","SCETTYB104","Gunday","Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"96","SCETTYB104","Highway","Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi,Maahi"
"97","SCETTYB104","Jab Tak Hai Jaan ","Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri ,Saans Me Teri "
"98","SCETTYB104","Kati patang","Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge ,Aaj na chhodenge "
"99","SCETTYB104","Khakee","Wada Raha,Dil Dooba,Wada Raha,Dil Dooba,Wada Raha,Dil Dooba,Wada Raha,Dil Dooba,Dil Dooba,Teri Baahon Maein Hum"
"100","SCETTYB104","Majboor","Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai"
